business,name,per_unit_value,unit,brand,category,sub_category,sub_category2,vendor_price,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,sku,delivery_time,status,enable_stock,current_stock,description,shipping_charge,image1,image2,image3,image4,image5,image6
squarefood&beverageltd.,Radhuni Chicken Tandoori Masala-50gm,1,Packet,radhuni,groceries,cooking-items,ready-mix,64,  75 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"""<ul>
<li>Product Type:Radhuni Chicken Masala </li>
<li>Brand: Square</li>
<li>Weight: 50gm</li>
<li>This products used as a complete spice for all kinds of meat cooking.</li>
</ul>""",,,,,,,
squarefood&beverageltd.,Radhuni Butter Chicken Masala-45gm,1,Packet,radhuni,groceries,cooking-items,ready-mix,42,  50 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"""<ul>
<li>Product Type:Radhuni Butter Chicken Masala- </li>
<li>Brand: Square</li>
<li>Weight: 45gm</li>
<li>This products used as a complete spice for all kinds of meat cooking.</li>
</ul>""",,,,,,,
squarefood&beverageltd.,Radhuni  Roast Masala-35gm,1,Packet,radhuni,groceries,cooking-items,ready-mix,50,  60 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"""<ul>
<li>Product Type:Radhuni  Roast Masala- </li>
<li>Brand: Square</li>
<li>Weight: 35gm</li>
<li>This products used as a complete spice for all kinds of meat cooking.</li>
</ul>""",,,,,,,
squarefood&beverageltd.,Radhuni Korma Masala-30gm,1,Packet,radhuni,groceries,cooking-items,ready-mix,37,  45 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"""<ul>
<li>Product Type:Radhuni Korma Masala </li>
<li>Brand: Square</li>
<li>Weight: 30gm</li>
<li>This products used as a complete spice for all kinds of meat cooking.</li>
</ul>""",,,,,,,
squarefood&beverageltd.,Radhuni BBQ Masala-50gm,1,Packet,radhuni,groceries,cooking-items,ready-mix,68,  80 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"""<ul>
<li>Product Type:Radhuni BBQ Masala </li>
<li>Brand: Square</li>
<li>Weight: 50gm</li>
<li>This products used as a complete spice for all kinds of meat cooking.</li>
</ul>""",,,,,,,
squarefood&beverageltd.,Radhuni Biryani Masala-40gm,1,Packet,radhuni,groceries,cooking-items,ready-mix,45,  55 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"""<ul>
<li>Product Type:Radhuni Biryani Masala </li>
<li>Brand: Square</li>
<li>Weight: 40gm</li>
<li>This products used as a complete spice for all kinds of meat cooking.</li>
</ul>""",,,,,,,
squarefood&beverageltd.,Radhuni Kachchi Biryani Masala-40gm,1,Packet,radhuni,groceries,cooking-items,ready-mix,32,  60 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"""<ul>
<li>Product Type:Radhuni Kachchi Biryani Masala </li>
<li>Brand: Square</li>
<li>Weight: 40gm</li>
<li>This products used as a complete spice for all kinds of meat cooking.</li>
</ul>""",,,,,,,
squarefood&beverageltd.,Radhuni Hyderabadi Biryani Masala-45gm,1,Packet,radhuni,groceries,cooking-items,ready-mix,65,  80 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"""<ul>
<li>Product Type:Radhuni Hyderabadi Biryani Masala </li>
<li>Brand: Square</li>
<li>Weight: 45gm</li>
<li>This products used as a complete spice for all kinds of meat cooking.</li>
</ul>""",,,,,,,
squarefood&beverageltd.,Radhuni Tehari Masala-45gm,1,Packet,radhuni,groceries,cooking-items,ready-mix,40,  50 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"""<ul>
<li>Product Type:Radhuni Tehari Masala </li>
<li>Brand: Square</li>
<li>Weight: 45gm</li>
<li>This products used as a complete spice for all kinds of meat cooking.</li>
</ul>""",,,,,,,
squarefood&beverageltd.,Radhuni Kabab Masala-50gm,1,Packet,radhuni,groceries,cooking-items,ready-mix,76,  90 ,0,,,,,"groceries,cooking-items,rice,spices,radhuni,ready-mix,snacks-and-instant-food",5,,,active,1,100,"""<ul>
<li>Product Type:Radhuni Kabab Masala- </li>
<li>Brand: Square</li>
<li>Weight: 50gm</li>
<li>This products used as a complete spice for all kinds of meat cooking.</li>
</ul>""",,,,,,,
