,name,unit,per_unit_value,brand,category,sub_category,sub_category2,vendor_price,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,slug,sku,delivery_time,status,enable_stock,current_stock,description,shipping_charge,image1,image2,image3,image4,image5,image6
sevendaysnotes,Vagabond Gray Notebook,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,125,150,0,,,,,"home-&-decor,home-&-decor",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Vagabond Series Kraft & Gray Notebook 2-Pack,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,249,300,0,,,,,"home-&-decor,home-&-decor",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Studio Series Spiral-Bound Black Notebook,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,108,130,0,,,,,"home-&-decor,home-&-decor",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Studio Series Spiral-Bound Kraft Notebook,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,108,130,0,,,,,"home-&-decor,home-&-decor",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Studio Series Spiral-Bound Kraft & Black Notebook 2-Pack,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,216,260,0,,,,,"home-&-decor,home-&-decor",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Executive Series Black Spiral Compress Notebook,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,116,140,0,,,,,"home-&-decor,home-&-decor",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Executive Series Black Spiral Large Notebook,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,149,180,0,,,,,"home-&-decor,home-&-decor",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Executive Series Black Spiral Notebook with Pencil,Piece,1,deshi-bazaar-book's-collections,home-&-decor,stationery-and-craft,,166,200,0,,,,,"home-&-decor,stationery-and-craft",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Executive Series White Cover Spiral Notebook,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,100,120,0,,,,,"home-&-decor,media,-music-and-books",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Executive Series Kraft Spiral Notebook,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,149,180,0,,,,,"home-&-decor,media,-music-and-books",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Executive Series Black & White Cover Spiral Notebook 2-Pack,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,249,300,0,,,,,"home-&-decor,media,-music-and-books",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Executive Series Kraft & White Cover Spiral Notebook 2-Pack,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,249,300,0,,,,,"home-&-decor,media,-music-and-books",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Executive Series Kraft & Black Spiral Notebook 2-Pack,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,299,360,0,,,,,"home-&-decor,media,-music-and-books",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Executive Series Black Kraft & White Cover Spiral Notebook 3- Pack,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,398,480,0,,,,,"home-&-decor,media,-music-and-books",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Daily Journal Notebook,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,199,240,0,,,,,"home-&-decor,media,-music-and-books",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Designer Series Dot-Grid Notebook,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,199,240,0,,,,,"home-&-decor,media,-music-and-books",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Designer Series Graph/Grid Notebook,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,199,240,0,,,,,"home-&-decor,media,-music-and-books",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Designer Series Dot-Grid & Graph/Grid Notebook 2-Pack,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,398,480,0,,,,,"home-&-decor,media,-music-and-books",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Designer Series Dot-Grid & Daily Journal Notebook 2-Pack,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,398,480,0,,,,,"home-&-decor,media,-music-and-books",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Designer Series Graph/Grid & Daily Journal Notebook 2-Pack,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,398,480,0,,,,,"home-&-decor,media,-music-and-books",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Designer Series Graph/Grid Dot-Grid & Daily Journal Notebook 3-Pack,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,598,720,0,,,,,"home-&-decor,media,-music-and-books",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Traveller’s Notebook,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,108,130,0,,,,,"home-&-decor,media,-music-and-books",10,,,10080,active,1,100,,,,,,,,
