business,name,unit,per_unit_value,brand,category,sub_category,sub_category2,Vendor_Price,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,sku,delivery_time,current_stock,enable_stock,shipping_charge,status,description,image1,image2,image3,image4,image5,image6
moushum,Moushum Ginger Powder 130gm,Piece,1,moushum,groceries,cooking-items,spices,135,150,0,,,,,,5,,,20,1,,active, <p>Collected from local farmers of Rajshahi. It is 100% organic and hygienic. White</p>,,,,,,
moushum,Moushum Ginger Powder 250gm,Piece,1,moushum,groceries,cooking-items,spices,261,290,0,,,,,,5,,,20,1,,active, <p>Collected from local farmers of Rajshahi. It is 100% organic and hygienic. White</p>,,,,,,
moushum,Moushum Turmeric Powder 130gm,Piece,1,moushum,groceries,cooking-items,spices,59,65,0,,,,,,5,,,15,1,,active, <p>Collected from local farmers of Rajshahi. It is 100% organic and hygienic.Yellow</p>,,,,,,
moushum,Moushum Turmeric Powder 250gm,Piece,1,moushum,groceries,cooking-items,spices,108,120,0,,,,,,5,,,25,1,,active, <p>Collected from local farmers of Rajshahi. It is 100% organic and hygienic.Yellow</p>,,,,,,
moushum,Moushum Turmeric Powder 500gm,Piece,1,moushum,groceries,cooking-items,spices,216,240,0,,,,,,5,,,24,1,,active, <p>Collected from local farmers of Rajshahi. It is 100% organic and hygienic.Yellow</p>,,,,,,
moushum,Moushum Chili Powder 130gm,Piece,1,moushum,groceries,cooking-items,spices,68,76,0,,,,,,5,,,15,1,,active,<p>Collected from local farmers of Rajshahi. It is 100% organic and hygienic.Red</p>,,,,,,
moushum,Moushum Chili Powder 250gm,Piece,1,moushum,groceries,cooking-items,spices,130,145,0,,,,,,5,,,25,1,,active,<p>Collected from local farmers of Rajshahi. It is 100% organic and hygienic.Red</p>,,,,,,
moushum,Moushum Chili Powder 500gm,Piece,1,moushum,groceries,cooking-items,spices,261,290,0,,,,,,5,,,24,1,,active,<p>Collected from local farmers of Rajshahi. It is 100% organic and hygienic.Red</p>,,,,,,
moushum,Moushum Coriander Powder 130gm,Piece,1,moushum,groceries,cooking-items,spices,59,65,0,,,,,,5,,,40,1,,active,<p>Collectedfrom local farmers of Rajshahi. It is 100% organic and hygienic.Brown</p>,,,,,,
moushum,Moushum Coriander Powder 250gm,Piece,1,moushum,groceries,cooking-items,spices,108,120,0,,,,,,5,,,36,1,,active,<p>Collectedfrom local farmers of Rajshahi. It is 100% organic and hygienic.Brown</p>,,,,,,
moushum,Moushum Cumin Powder 130gm,Piece,1,moushum,groceries,cooking-items,spices,94,105,0,,,,,,5,,,40,1,,active,<p>Collectedfrom local farmers of Rajshahi. It is 100% organic and hygienic.Brown</p>,,,,,,
moushum,Moushum Cumin Powder 250gm,Piece,1,moushum,groceries,cooking-items,spices,180,200,0,,,,,,5,,,36,1,,active,<p>Collectedfrom local farmers of Rajshahi. It is 100% organic and hygienic.Brown</p>,,,,,,
moushum,Moushum Cardamom(medium) 50gm,Piece,1,moushum,groceries,cooking-items,,234,260,0,,,,,,5,,,20,1,,active,<p>Collectedfrom local farmers of Rajshahi. It is 100% organic and hygienic.Green</p>,,,,,,
moushum,Moushum Cardamom(medium) 100gm,Piece,1,moushum,groceries,cooking-items,,468,520,0,,,,,,5,,,25,1,,active,<p>Collectedfrom local farmers of Rajshahi. It is 100% organic and hygienic.Green</p>,,,,,,
moushum,Moushum Bay Leaves 100gm,Piece,1,moushum,groceries,cooking-items,,27,30,0,,,,,,5,,,24,1,,active,<p>Collectedfrom local farmers of Rajshahi. It is 100% organic and hygienic.Brown</p>,,,,,,
moushum,Moushum Bay Leaves 200gm,Piece,1,moushum,groceries,cooking-items,,45,50,0,,,,,,5,,,18,1,,active,<p>Collectedfrom local farmers of Rajshahi. It is 100% organic and hygienic.Brown</p>,,,,,,
moushum,Moushum Cumin 100gm,Piece,1,moushum,groceries,cooking-items,,54,60,0,,,,,,5,,,40,1,,active,<p>Collectedfrom local farmers of Rajshahi. It is 100% organic and hygienic.Brown</p>,,,,,,
moushum,Moushum Cumin 200gm,Piece,1,moushum,groceries,cooking-items,,108,120,0,,,,,,5,,,30,1,,active,<p>Collectedfrom local farmers of Rajshahi. It is 100% organic and hygienic.Brown</p>,,,,,,
moushum,Moushum Black Pepper Powder 130gm,Piece,1,moushum,groceries,cooking-items,,162,180,0,,,,,,5,,,10,1,,active,<p>Collectedfrom local farmers of Rajshahi. It is 100% organic and hygienic.Black</p>,,,,,,
moushum,Moushum Black Pepper Powder 250gm,Piece,1,moushum,groceries,cooking-items,,310,345,0,,,,,,5,,,12,1,,active,<p>Collectedfrom local farmers of Rajshahi. It is 100% organic and hygienic.Black</p>,,,,,,
moushum,Moushum Psyllium Husk 100gm,Piece,1,moushum,groceries,cooking-items,,126,140,0,,,,,,5,,,20,1,,active, <p>Collected from local farmers of Rajshahi. It is 100% organic and hygienic. White</p>,,,,,,
moushum,Moushum Psyllium Husk 200m,Piece,1,moushum,groceries,cooking-items,,252,280,0,,,,,,5,,,25,1,,active, <p>Collected from local farmers of Rajshahi. It is 100% organic and hygienic. White</p>,,,,,,
moushum,Moushum Tal Misri 130gm,Piece,1,moushum,groceries,snacks-and-instant-food,candy-and-chocolate,81,90,0,,,,,,5,,,30,1,,active,<p>Collectedfrom local farmers of Rajshahi. It is 100% organic and hygienic.Brown</p>,,,,,,
moushum,Moushum Tal Misri 250gm,Piece,1,moushum,groceries,snacks-and-instant-food,candy-and-chocolate,153,170,0,,,,,,5,,,20,1,,active,<p>Collectedfrom local farmers of Rajshahi. It is 100% organic and hygienic.Brown</p>,,,,,,
moushum,Moushum Tal Misri 500gm,Piece,1,moushum,groceries,snacks-and-instant-food,candy-and-chocolate,297,330,0,,,,,,5,,,15,1,,active,<p>Collectedfrom local farmers of Rajshahi. It is 100% organic and hygienic.Brown</p>,,,,,,
moushum,Moushum Cinnamon 100gm,Piece,1,moushum,groceries,cooking-items,,54,60,0,,,,,,5,,,25,1,,active,<p>Collectedfrom local farmers of Rajshahi. It is 100% organic and hygienic.Brown</p>,,,,,,
moushum,Moushum Cinnamon 200gm,Piece,1,moushum,groceries,cooking-items,,108,120,0,,,,,,5,,,45,1,,active,<p>Collectedfrom local farmers of Rajshahi. It is 100% organic and hygienic.Brown</p>,,,,,,
moushum,Moushum Garam Masala Powder 130gm,Piece,1,moushum,groceries,cooking-items,,225,250,0,,,,,,5,,,10,1,,active,<p>Collectedfrom local farmers of Rajshahi. It is 100% organic and hygienic.Brown</p>,,,,,,
moushum,Moushum Garam Masala Powder 250gm,Piece,1,moushum,groceries,cooking-items,,432,480,0,,,,,,5,,,12,1,,active,<p>Collectedfrom local farmers of Rajshahi. It is 100% organic and hygienic.Brown</p>,,,,,,
moushum,Moushum Black Pepper 50gm,Piece,1,moushum,groceries,cooking-items,,63,70,0,,,,,,5,,,30,1,,active,<p>Collectedfrom local farmers of Rajshahi. It is 100% organic and hygienic.Black</p>,,,,,,
moushum,Moushum White Pepper 50gm,Piece,1,moushum,groceries,cooking-items,,90,100,0,,,,,,5,,,20,1,,active, <p>Collected from local farmers of Rajshahi. It is 100% organic and hygienic. White</p>,,,,,,
moushum,Moushum Raisin 100gm,Piece,1,moushum,groceries,cooking-items,,34,38,0,,,,,,5,,,20,1,,active, <p>Collected from local farmers of Rajshahi. It is 100% organic and hygienic.Yellow</p>,,,,,,
moushum,Moushum Raisin 200gm,Piece,1,moushum,groceries,cooking-items,,68,76,0,,,,,,5,,,40,1,,active, <p>Collected  from local farmers of Rajshahi. It is 100% organic and hygienic.Yellow</p>,,,,,,
moushum,Moushum Clove 100gm,Piece,1,moushum,groceries,cooking-items,,126,140,0,,,,,,5,,,20,1,,active,<p>Collectedfrom local farmers of Rajshahi. It is 100% organic and hygienic.Brown</p>,,,,,,
moushum,Moushum Clove 200gm,Piece,1,moushum,groceries,cooking-items,,252,280,0,,,,,,5,,,10,1,,active,<p>Collectedfrom local farmers of Rajshahi. It is 100% organic and hygienic.Brown</p>,,,,,,
moushum,Moushum Clove 250gm,Piece,1,moushum,groceries,cooking-items,,315,350,0,,,,,,5,,,16,1,,active,<p>Collectedfrom local farmers of Rajshahi. It is 100% organic and hygienic.Brown</p>,,,,,,
moushum,Moushum Dry Chili 100gm,Piece,1,moushum,groceries,cooking-items,,45,50,0,,,,,,5,,,15,1,,active,<p>Collected from local farmers of Rajshahi. It is 100% organic and hygienic.Red</p>,,,,,,
moushum,Moushum Dry Chili 200gm,Piece,1,moushum,groceries,cooking-items,,90,100,0,,,,,,5,,,10,1,,active,<p>Collected from local farmers of Rajshahi. It is 100% organic and hygienic.Red</p>,,,,,,
moushum,Moushum Dry Chili 250gm,Piece,1,moushum,groceries,cooking-items,,112,125,0,,,,,,5,,,70,1,,active,<p>Collected from local farmers of Rajshahi. It is 100% organic and hygienic.Red</p>,,,,,,
moushum,Moushum Javitri 50gm,Piece,1,moushum,groceries,cooking-items,,180,200,0,,,,,,5,,,10,1,,active,<p>Collectedfrom local farmers of Rajshahi. It is 100% organic and hygienic.Brown</p>,,,,,,
moushum,Moushum Panch Foron 100gm,Piece,1,moushum,groceries,cooking-items,,49,55,0,,,,,,5,,,10,1,,active,<p>Collectedfrom local farmers of Rajshahi. It is 100% organic and hygienic.Mixed Color</p>,,,,,,
moushum,Moushum Panch Foron 200gm,Piece,1,moushum,groceries,cooking-items,,94,105,0,,,,,,5,,,10,1,,active,<p>Collectedfrom local farmers of Rajshahi. It is 100% organic and hygienic.Mixed Color</p>,,,,,,
